unit,year,vintage,cred_total,cred_mn,cred_me_usd,dep_total,dep_mn,dep_me_usd,label_credit,label_deposit,n_vintages,rev_spread_c,rev_spread_d,doll_credit,doll_deposit,fx_credit,fx_deposit,fx_implied,fx0,doll_credit_constfx,doll_deposit_constfx
BM,2013,2017,169555457.95195997,91735934.00048998,27842405.707144897,170320148.38233,89656680.54571998,28859916.93617532,Créditos Directos* (Miles S/),Depósitos totales (Miles S/),5,2.8104568605691327e-5,0,45.896206994126096,47.35990932531299,2.795,2.795,2.795,2.8089999997482193,46.020301759889755,47.484488279157674
BM,2014,2018,193128410.8779,110325316.98884,27730440.01643,177978399.29998004,94265419.71216,28035157.263168115,Créditos Directos* (Miles S/),Depósitos totales (Miles S/),5,2.610859166640722e-5,0,42.87463119106278,47.035471673572594,2.9860000000000007,2.9860000000000015,2.9860000000000015,2.8089999997482193,41.384951174499015,45.516412602377436
BM,2015,2019,226588912.78944,152065774.74942994,21847885.67575784,210766968.01016,99329193.57646996,32670118.567484614,Créditos Directos* (Miles S/),Depósitos totales (Miles S/),5,0,0,32.889137037901506,52.872504399417174,3.411000000000003,3.411000000000001,3.4110000000000014,2.8089999997482193,28.753617584702184,48.0222794175573
BM,2016,2020,235371431.00906995,160412489.75694996,22335798.94282479,210201236.48284,110114913.99502,29823099.66859953,Créditos Directos* (Miles S/),Depósitos totales (Miles S/),5,0,0,31.84708565978488,47.61452604299531,3.356,3.355999999999999,3.355999999999999,2.8089999997482193,28.115709241304458,43.2069475925619
BM,2017,2021,245551557.69968003,164707868.46756998,24944057.15276458,229357834.53615,131023368.3395,30340779.44975316,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0,0,32.92330539030232,42.87382046291125,3.241000000000002,3.2410000000000005,3.241000000000001,2.8089999997482193,29.84459169908601,39.41133224557523
BM,2018,2022,270662412.20536005,184282099.97597,25609342.49314853,243860244.78294,147558880.06235996,28550656.602603026,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0,0,31.914410104292802,39.49039123055827,3.3730000000000024,3.373000000000001,3.373000000000002,2.8089999997482193,28.076261012491166,35.21233459312757
BM,2019,2023,286085698.78613,200330879.38274,25876529.693237785,263121071.49049,160639549.26368,30923814.79384731,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0,0,29.975220630478994,38.94842843497389,3.314,3.3139999999999996,3.3139999999999996,2.8089999997482193,26.623577290879474,35.0963234812459
BM,2020,2024,326021798.01666003,243371096.04114,22825380.274929583,329937958.30773,205050185.07489,34489857.28606462,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0,0,25.35128095063647,37.851896118105444,3.621000000000001,3.6210000000000013,3.6210000000000018,2.8089999997482193,20.851733674056362,32.08733979829534
BM,2021,2025,350028574.10145,259006596.92324,22829690.78961876,331259594.9358501,188863770.11493,35715030.05290193,Créditos Directos (Miles S/),Depósitos totales (Miles S/),5,0,0,26.004156206924065,42.98617368305835,3.987000000000001,3.9870000000000023,3.987000000000002,2.8089999997482193,19.84574931812838,34.69153833647179
BM,2022,2025,356584531.66695,258836052.22407,25628861.940975357,325989814.28719,193777167.44393,34665088.31758259,Créditos Directos (Miles S/),Depósitos totales (Miles S/),4,0,0,27.41242840398278,40.55729383212676,3.8139999999999987,3.8140000000000005,3.814,2.8089999997482193,21.76102883113083,33.44453535228986
